flowId,nodeType,throughput,packetLoss,delay
1,wireless,22370.12,0.00,0.01
2,wireless,4693.78,0.00,0.01
3,wireless,18154.26,0.00,0.10
4,wireless,18633.59,0.00,0.07
5,wireless,18524.25,0.00,0.05
6,wireless,19167.97,0.00,0.06
7,wireless,17565.23,0.00,0.09
8,wireless,19603.07,0.00,0.02
9,wireless,18058.83,0.00,0.09
10,wireless,18877.53,0.00,0.04
11,wireless,19674.06,0.00,0.03
12,wireless,19044.51,0.00,0.06
13,wireless,19311.37,0.00,0.03
14,wireless,18102.91,0.00,0.09
15,wireless,19278.70,0.00,0.07
16,wireless,20244.39,0.00,0.02
17,wireless,18863.05,0.00,0.04
18,wireless,18980.30,0.00,0.05
19,wireless,18944.12,0.00,0.02
20,wireless,18567.68,0.00,0.09
21,wireless,18674.55,0.00,0.07
22,wireless,19511.38,0.00,0.03
23,wireless,19082.63,0.00,0.04
24,wireless,18010.79,0.00,0.08
25,wireless,18086.09,0.00,0.09
26,wireless,18312.95,0.00,0.09
27,wireless,17828.66,0.00,0.09
28,wireless,17705.69,0.00,0.09
29,wireless,18161.32,0.00,0.08
30,wireless,19142.05,0.00,0.05
31,wireless,17620.88,0.00,0.09
32,wireless,19891.86,0.00,0.02
